ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
null,1995,5,beige,null,2,5,null,5213,Occasion,"""Ab MFK""",Black,Allrad,Automat,133500,212,SUV / Geländewagen,Benzin,Zuzwil,Jeep,Grand Cherokee,Grand Cherokee 5.2 Ltd.,Grand Cherokee 5.2 Ltd.,JEEP Grand Cherokee 5.2 Ltd.,cc1c8c00-1bdc-478c-8230-8659496afee6,null,null
null,1998,2,schwarz,470 g/km,7,2,20.8 l/100km,3496,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Schaltgetriebe manuell,34600,380,Cabriolet,Benzin,Zuzwil,Ferrari,F355,F355 Spider,F355 Spider,FERRARI F355 Spider,5dc0cbec-094f-42d9-a83d-f05357af2cdb,20.8,l/100km
null,1997,5,beige,353 g/km,6,5,14.9 l/100km,4170,Occasion,"""Ab MFK""",Black,Allrad,Automat,91900,290,Kombi,Benzin,Zuzwil,Audi,S6,S6 Avant quattro 4.2,S6 Avant quattro 4.2,AUDI S6 Avant quattro 4.2,00126794-a8ef-48fe-93d6-43cfc69fbfb6,14.9,l/100km
G,2013,4,schwarz,231 g/km,9,5,9.9 l/100km,4395,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Automatisiertes Schaltgetriebe,15300,575,Limousine,Benzin,Zuzwil,BMW,M5,M5,M5,BMW M5,7b42bdf1-fffb-472f-9360-573f34328c94,9.9,l/100km
G,2008,2,schwarz,325 g/km,6,2,13.7 l/100km,5204,Occasion,"""Ab MFK""",Black,Allrad,Automatisiertes Schaltgetriebe,28500,560,Coupé,Benzin,Zuzwil,Lamborghini,GALLARDO,Gallardo LP560-4 Coupé,Gallardo LP560-4 Coupé,LAMBORGHINI Gallardo LP560-4 Coupé,41d0e236-1619-42ec-ae65-433acfe8efdb,13.7,l/100km
G,2003,2,schwarz,346 g/km,6,2,14.4 l/100km,5513,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Automat,45300,500,Cabriolet,Benzin,Zuzwil,Mercedes-Benz,SL 600,SL 600,SL 600,MERCEDES-BENZ SL 600,ac03fe4a-3680-456d-afe7-a0c106a0c328,14.4,l/100km
null,1997,4,schwarz,218 g/km,11,5,9.2 l/100km,1799,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Schaltgetriebe manuell,118200,122,Limousine,Benzin,Zuzwil,Mercedes-Benz,C 180,C 180 Esprit,C 180 Esprit,MERCEDES-BENZ C 180 Esprit,7acabfcc-cbfa-4363-b59a-3b016bb3ac16,9.2,l/100km
G,2005,2,schwarz,500 g/km,7,2,21.5 l/100km,6192,Occasion,"""Ab MFK"", ""Tuning""",Black,Allrad,Automatisiertes Schaltgetriebe,49800,580,Coupé,Benzin,Zuzwil,Lamborghini,MURCIÉLAGO,Murciélago 6.2 Coupé,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,ef8d7597-2163-4f1e-92ff-b45cf9b9a8d2,21.5,l/100km
null,1967,2,beige,null,1,2,null,2496,Occasion,"""Ab MFK""",Blue,Hinterradantrieb,Schaltgetriebe,47700,150,Cabriolet,Benzin,Zuzwil,Mercedes-Benz,,SL 250 Pagode,SL 250 Pagode,MERCEDES-BENZ SL 250 Pagode,386bba79-cb3b-4dba-ac2d-9b27d5739e22,null,null
G,2011,2,schwarz,495 g/km,4,2,21.3 l/100km,6496,Occasion,"""Ab MFK""",Black,Allrad,Schaltgetriebe manuell,7890,641,Coupé,Benzin,Porrentruy,Lamborghini,MURCIÉLAGO,Murciélago LP640-4 Cpé,Murciélago LP640-4 Cpé,LAMBORGHINI Murciélago LP640-4 Cpé,13586cc6-5d05-483f-97bd-7e4af8dd65b5,21.3,l/100km
G,2003,5,grau,335 g/km,5,5,13.9 l/100km,4398,Occasion,"""Ab MFK""",Black,Allrad,Automat sequentiell,66800,286,SUV / Geländewagen,Benzin,Zuzwil,BMW,X5,X5 4.4i,X5 4.4i,BMW X5 4.4i,80b38dbb-c186-46b9-a846-8a8d7520436d,13.9,l/100km
null,2001,4,schwarz,331 g/km,3,5,13.8 l/100km,4172,Occasion,"""Ab MFK""",Black,Allrad,Automatik-Getriebe,49300,360,Limousine,Benzin,Zuzwil,Audi,S8,S8 4.2 quattro,S8 4.2 quattro,AUDI S8 4.2 quattro,0819d259-525d-4914-af5d-63bc116db2bb,13.8,l/100km
